feature,pooled_c2st,pooled_c2st_calibrated,benign_c2st,attack_c2st,benign_c2st_calibrated,attack_c2st_calibrated,dominant_slice,dominant_c2st,c2st_Botnet,c2st_BruteForce,c2st_DDoS,c2st_DoS,c2st_Infiltration,c2st_WebAttack,c2st_calibrated_Botnet,c2st_calibrated_BruteForce,c2st_calibrated_DDoS,c2st_calibrated_DoS,c2st_calibrated_Infiltration,c2st_calibrated_WebAttack
PSH Flag Count,0.6319125000000001,0.22343849067319418,0.6421043750000001,0.7320500000000001,0.26153102995605393,0.4302209731109266,Botnet,0.9524315131457989,0.9524315131457989,0.79925,0.5237031249999999,0.515335625,0.5278581250000001,0.484875581811672,0.9006894279651533,0.5774202001444741,0.030074815169412357,0.008898881484218375,0.0367792107334842,-0.17666434480202334
CWR Flag Count,0.6475,0.2698191691205708,0.64425,0.7120000000000001,0.2700273482850486,0.40709339417112217,Botnet,1.0,1.0,0.5,0.9984999999999999,0.5,0.5355000000000001,1.0,1.0,0.0,0.9969039676221105,0.0,0.059735527659453676,1.0
ECE Flag Count,0.6405,0.2533652013441946,0.636573125,0.71175,0.24818714960530544,0.4079724886361611,Botnet,1.0,1.0,0.5,0.999,0.5,0.533,1.0,1.0,0.0,0.9978817405488787,0.0,0.05480006296512959,1.0
Down/Up Ratio,0.6191937500000001,0.2070565567950286,0.6158474999999999,0.786416875,0.2076727500518635,0.5551810631700762,Botnet,0.9985697278911564,0.9985697278911564,0.9976693749999999,0.9933837499999999,0.8679987499999999,0.719523125,0.9006564029120419,0.996970833071892,0.9951109035959506,0.9861786774750574,0.7256416126596011,0.42023230260284816,0.7412186876083899
ACK Flag Count,0.6973493749999999,0.36110543887500757,0.65430875,0.9764993750000001,0.27769313783223243,0.9506563083823872,BruteForce,0.99949625,0.9978792517006803,0.99949625,0.99895625,0.9579500000000001,0.8958412499999999,0.8958440744718941,0.9955821766468583,0.998940750368418,0.9977670769619379,0.9119059550142871,0.7827824464181266,0.7158646259312497
Average Packet Size,0.697305,0.3801993455705987,0.672265,0.9920562500000001,0.30817746681498276,0.9832731669076534,Botnet,1.0,1.0,0.9971306249999999,1.0,0.996831875,0.5344487500000001,0.9628634085213033,1.0,0.9940874730946716,1.0,0.9933131415967692,0.05125937551675645,0.9123990046346923
Fwd Segment Size Avg,0.702234375,0.3802389167809107,0.6761375,0.9517625000000001,0.32556078910335545,0.9011929598697803,Botnet,0.99975,0.99975,0.994780625,0.99975,0.9104093750000001,0.52475625,0.9682930540637307,0.9994733798129508,0.9891706431724121,0.9994766013770172,0.8129167020728069,0.03043011303260194,0.9242522297417644
Fwd Bytes/Bulk Avg,0.5187349999999998,0.026896169721670745,0.521320625,0.5099756249999998,0.03021530180895809,0.015067871441725129,Botnet,0.5312522867255011,0.5312522867255011,0.5015,0.5,0.514430625,0.501,0.5,0.042792533213725746,-0.0004835003375523647,0.0,0.017272338832085395,-0.002865217370373988,0.0
Bwd Segment Size Avg,0.7093612499999999,0.38163320126658956,0.673881875,0.989896875,0.3153098154387294,0.9784777577122821,DDoS,1.0,0.9954183673469389,0.99975,1.0,0.9997093749999999,0.522983125,0.9269089390142021,0.9906606635370132,0.9994759378596348,1.0,0.9993968085207504,0.02744731331462381,0.8195967094583093
Fwd Packet/Bulk Avg,0.5212393750000001,0.028789905306665486,0.5222200000000001,0.50425125,0.03349390511110982,0.004987887498269561,Botnet,0.5253950289575289,0.5253950289575289,0.501,0.501,0.515769375,0.503499375,0.5,0.038585321708306974,0.0003036637038931032,0.0003516130456817531,0.018235037446114395,0.0037043940040203207,0.0
